Designator,Mid X,Mid Y,Rotation,Layer
C1,63.6804,-57.4077,270.0,top
C10,93.119,-73.728,0.0,top
C2,92.357,-76.8268,0.0,top
C3,81.054,-52.9838,270.0,top
C4,66.83,-58.3746,270.0,top
C5,88.0136,-53.8398,0.0,top
C6,88.7756,-50.6902,0.0,top
C8,73.0276,-52.9482,270.0,top
C9,96.6242,-61.409,180.0,top
D1,96.3448,-50.6902,0.0,top
D2,64.6964,-62.4844,90.0,top
D3,66.8392,-62.4844,90.0,top
D4,62.512,-62.4844,90.0,top
D5,81.6128,-62.3996,0.0,top
D6,81.6148,-59.8088,0.0,top
D7,55.5524,-72.7628,180.0,top
D8,89.436,-57.98,180.0,top
J1,54.6004,-64.9096,270.0,top
J2,75.72,-73.22,90.0,top
J3,61.4198,-45.0704,270.0,bottom
J4,75.72,-73.22,270.0,bottom
L1,94.516,-42.1006,90.0,top
R1,61.0028,-75.0234,0.0,top
R2,61.0028,-73.9566,180.0,top
R3,62.3998,-66.2604,0.0,top
R4,62.3998,-65.1428,0.0,top
U1,94.7446,-67.7082,180.0,top
U2,78.2554,-42.183,180.0,top
U3,74.808,-61.8916,0.0,top
